name,year,age,exp,role
Princess Pauline,1806,6,37,Child of Monarch
Prince Ernest Casimir,1822,0,37,Child of Monarch
Wilhelmine of Prussia,1837,63,37,Consort
Willem I,1843,71,37,Monarch
Prince Willem Alexander,1848,30,37.4,Child of Monarch
Willem II,1849,57,37.5,Monarch
Prince Maurits,1850,7,37.5,Child of Monarch
Henrietta d'Oultremont,1864,72,37.1,Consort
Anna Pavlovna of Russia,1865,70,37.1,Consort
Sophie of Württemberg,1877,59,40,Consort
Prince Henry,1879,59,41,Child of Monarch
Prince Willem,1879,39,41,Child of Monarch
Prince Frederick,1881,84,42,Child of Monarch
Princess Marianne,1883,73,42.7,Child of Monarch
Prince Alexander,1884,33,43,Child of Monarch
Willem III,1890,73,45,Monarch
Princess Sophie,1897,73,46.5,Child of Monarch
Emma of Waldeck-Pyrmont,1934,76,65.5,Consort
Prince Hendrik,1934,58,65.5,Consort
Wilhelmina,1962,82,73.5,Monarch
Prince Claus von Amsberg,2002,76,78.4,Consort
Juliana,2004,95,78.9,Monarch
Prince Bernhard,2004,93,78.9,Consort
Prince Friso,2013,45,81,Child of Monarch
Princess Christina,2019,72,81.8,Child of Monarch
